student_id,student_name,student_email,avg_grade,submission_count,late_count,late_ratio,risk_bucket
72,Bùi Văn Công,student168@example.com,8.59,20,2,0.1,Kha/Gioi (>=7)
63,Bùi Thị Tâm,student159@example.com,2.7650000000000006,20,3,0.15,At-Risk (Yeu <5)
100,Phan Văn Tuấn,student196@example.com,8.54,20,1,0.05,Kha/Gioi (>=7)
85,Nguyễn Thị Loan,student181@example.com,8.21,20,4,0.2,Kha/Gioi (>=7)
68,Trần Văn An,student164@example.com,8.530000000000001,20,2,0.1,Kha/Gioi (>=7)
59,Trần Thị Thúy,student155@example.com,8.59,20,2,0.1,Kha/Gioi (>=7)
13,Nguyễn Thị Lan,student109@example.com,2.7850000000000006,20,0,0.0,At-Risk (Yeu <5)
45,Bùi Thị Mỹ,student141@example.com,2.4199999999999995,20,2,0.1,At-Risk (Yeu <5)
78,Lê Văn Hải,student174@example.com,2.425,20,0,0.0,At-Risk (Yeu <5)
64,Phan Văn Tùng,student160@example.com,8.315000000000001,20,6,0.3,Kha/Gioi (>=7)
49,Nguyễn Thị Phượng,student145@example.com,1.705,20,1,0.05,At-Risk (Yeu <5)
89,Hoàng Thị Nga,student185@example.com,8.73,20,3,0.15,Kha/Gioi (>=7)
65,Đặng Thị Vân,student161@example.com,3.02,20,1,0.05,At-Risk (Yeu <5)
71,Hoàng Thị Châu,student167@example.com,8.529999999999998,20,0,0.0,Kha/Gioi (>=7)
46,Phan Văn Nam,student142@example.com,2.9,20,2,0.1,At-Risk (Yeu <5)
43,Phạm Thị Lý,student139@example.com,2.0349999999999997,20,3,0.15,At-Risk (Yeu <5)
48,Vũ Văn Phong,student144@example.com,8.450000000000001,20,2,0.1,Kha/Gioi (>=7)
83,Đặng Thị Liên,student179@example.com,8.540000000000001,20,1,0.05,Kha/Gioi (>=7)
18,Bùi Văn Nam,student114@example.com,2.365,20,2,0.1,At-Risk (Yeu <5)
16,Phạm Văn Minh,student112@example.com,1.9349999999999998,20,3,0.15,At-Risk (Yeu <5)
34,Phạm Văn Hòa,student130@example.com,5.949999999999999,20,10,0.5,At-Risk (Luoi 5-7 + tre)
69,Lê Thị Ánh,student165@example.com,2.4199999999999995,20,1,0.05,At-Risk (Yeu <5)
14,Trần Văn Linh,student110@example.com,2.7949999999999995,20,3,0.15,At-Risk (Yeu <5)
